Продукт,"Бел, г","Жир, г","Угл, г","Кал, ккал"
Соус майонезный Bombbar Mayo,6.9,0.8,5.6,73.0
Соус майонезный Violio Веганез водоросли нори,0.2,56.0,4.5,520.0
Соус майонезный Violio Веганез кешью и базилик,0.2,56.0,4.5,523.0
Соус майонезный Zero низкокалорийный Провансальский,0.0,9.0,5.2,102.0
Соус майонезный Zero низкокалорийный с оливками,0.0,9.0,5.2,102.0
Соус майонезный соевый ВкусВилл классический,2.4,17.0,5.9,186.0
Соус молочный,2.0,7.1,5.2,84.0
Соус Моя семья к картофелю с зелёным луком,0.8,18.0,7.9,197.0
Соус Моя семья к макаронам с сыром Чеддер,1.0,18.1,8.2,200.0
Соус Моя семья к мясу три душистых перца,0.8,18.0,7.9,197.0
Соус Моя семья к пельменям с чесноком и душистыми травами,0.8,18.0,7.9,197.0
Соус Моя семья к рыбе с маринованными огурчиками,0.9,18.0,7.0,193.0
Соус Моя семья к сосискам с горчичными семечками,0.8,18.0,8.9,201.0
Соус наршараб,0.5,0.2,67.6,270.0
Соус ореховый,23.4,37.5,10.5,473.0
Соус Пад Тай,14.6,27.1,25.0,375.0
Соус песто,5.0,45.0,6.0,454.0
Соус ремулад,0.2,9.0,1.1,89.0
Соус рисовый Мирин,0.2,0.2,52.2,258.0
Соус рыбный,2.9,1.7,4.8,43.0
Соус с хреном,0.7,4.2,0.1,27.0
Соус сирача Aroy-D,1.4,0.0,39.0,166.0
Соус сливочно-чесночный Maestro Gusten,0.2,40.0,6.0,390.0
Соус сметанный,1.9,5.7,5.2,78.0
Соус сметанный с шампиньонами,0.6,14.5,9.1,169.0
Соус соевый,7.0,0.0,8.0,53.0
Соус соевый Bragg Liquid Aminos,10.0,0.0,0.0,40.0
Соус соевый Heinz,2.6,0.0,43.0,183.0
Соус соевый Kikkoman,10.3,0.0,8.1,73.0
Соус соевый Mivimex,6.3,0.0,0.0,25.0
Соус соевый Стебель бамбука к Креветкам,9.1,2.1,13.0,52.0
Соус соевый Стебель бамбука к Пельменям,6.6,1.2,12.0,48.0
Соус соевый Стебель бамбука Классический,8.0,1.4,13.0,52.0
Соус соевый Стебель бамбука Пикантный,8.4,2.1,13.0,52.0
Соус соевый Стебель бамбука с Грибами,9.7,2.4,13.0,52.0
Соус соевый Стебель бамбука с Перцем,9.0,2.0,13.0,52.0
Соус соевый Стебель бамбука с Чесноком,8.2,1.7,13.0,52.0
Соус соевый Стебель бамбука Японский,6.0,1.7,13.0,52.0
Соус соевый Сэн Сой классический,3.5,0.0,11.0,58.0
Соус соевый Сэн Сой Премиум Терияки,4.8,0.0,25.1,119.0
Соус сырный Heinz,2.5,36.0,5.5,356.0
Соус сырный Maestro Gusten 40%,0.2,40.0,5.0,390.0
Соус сырный McDonalds,0.6,9.0,1.4,89.0
Соус тайский Славянский дар,1.9,3.9,38.8,198.0
Соус тартар,0.9,46.0,7.0,464.0
Соус терияки,5.9,0.0,15.5,89.0
Соус терияки Heinz,1.5,0.0,42.0,180.0
Соус терияки Sen Soy сладкий для обжаривания,4.0,0.0,31.0,140.0
Соус томатный,1.7,7.8,4.5,80.0
Соус томатный острый,2.5,0.0,21.8,98.0
Соус укропный,0.8,30.0,8.1,309.0
Соус устричный,3.5,0.0,21.3,121.0
Соус хойсин,0.2,0.0,8.1,30.0
Соус Цезарь Bombbar,4.1,0.7,7.4,58.0
Соус черносмородиновый,0.4,0.0,19.4,77.0
Соус чесночный,1.6,32.2,9.1,335.0
Соус четыре перца Heinz,1.5,42.0,13.0,440.0
Соус чили,2.5,0.3,30.1,120.0
Соус эбара,12.4,3.0,16.0,99.0
Соус яблочный,0.3,0.1,19.0,77.0
Сочник,10.1,8.8,40.5,274.0
Соя,34.9,17.3,17.3,381.0
Соя (ростки),13.1,6.7,9.6,141.0
Соя (сухие семена),34.9,17.3,26.5,332.0
Спагетти,10.4,1.1,71.5,344.0
Спагетти Buitoni Spaghetti Lunghi,11.5,1.7,71.8,350.0
Спагетти Myllyn Paras,10.4,1.1,71.5,344.0
Спагетти из киноа цельнозерновые,5.4,1.8,76.8,359.0
Спагетти Ширатаки,0.0,0.0,0.6,9.0
Спагетти Ширатаки Diet-Food,0.2,0.0,5.0,8.0
Спагеттини,11.2,1.6,68.4,333.0
Спаржа,1.9,0.1,3.1,20.0
Спаржа Бондюэль зелёная целая,0.6,1.3,2.6,24.0
Спаржа маринованная,1.8,0.2,1.5,15.0
Спираль Myllyn Paras,10.4,1.1,71.5,344.0
Спирт этиловый 96%,0.0,0.0,3.8,710.0
Спрайт,0.1,0.0,7.0,29.0
Спред растительно-жировой Нежный,0.0,40.0,0.0,360.0
Ставрида в масле,15.6,27.4,,309.0
Ставрида в томатном соусе,14.8,2.3,7.3,110.0
Ставрида жареная,20.3,10.5,3.7,190.0
Ставрида отварная,20.6,5.6,,133.0
Ставрида припущенная,19.6,4.8,,122.0
Ставрида свежая,19.0,5.0,,119.0
Ставрида холодного копчения,17.1,2.8,,94.0
Стевия (Медовая трава),0.0,0.0,0.1,18.0
Стевия в таблетках,0.0,0.0,68.0,272.0
Стерлядь копченая,17.5,2.0,0.0,88.0
Стерлядь свежая,17.0,6.1,,122.0
Страусиное мясо,21.7,1.2,0.0,98.0
Стрелолист обыкновенный (Болотник),5.3,0.3,20.2,99.0
Субпродукты тушеные,24.0,8.0,0.0,185.0
Судак отварной,21.3,1.3,,97.0
Судак припущенный,19.6,1.2,,89.0
Судак свежий,19.2,0.7,,84.0
Судак фаршированный,13.7,6.0,8.7,144.0
Сузьма,2.8,3.2,4.2,80.0
Сумах,10.0,9.0,28.0,239.0
Суп Шаксфин,2.0,1.1,5.6,41.0
Суп 4 сезона из цветной капусты,0.1,0.1,8.4,38.0
Суп 4 сезона щавелевый,1.7,0.1,11.7,52.0
Суп Asian Fusion грибной с яйцом,31.0,12.0,34.0,368.0
Суп Herbalife Томатный с базиликом,22.0,2.0,47.0,326.0
Суп Hortex грибной с подберезовиками,2.7,0.3,8.2,52.0
Суп Hortex зимний,2.1,0.3,3.5,32.0
Суп Hortex из цветной капусты с картофелем и укропом,1.9,0.2,5.4,36.0
Суп Hortex итальянский,1.8,0.3,4.1,32.0
Суп Hortex осенний,2.5,0.3,3.7,34.0
Суп Hortex президентский,1.3,0.2,3.4,25.0
Суп Hortex рассольник,1.4,0.1,7.3,38.0
Суп Hortex с шампиньонами,1.9,0.3,5.6,37.0
Суп Hortex щавелевый,1.3,0.4,7.9,45.0
Суп Yelli Азиатский из фасоли,21.0,2.0,44.0,280.0
Суп Yelli из киноа с красным рисом и чечевицей,13.0,3.5,50.0,280.0
Суп Yelli Итальянский с мелкой пастой,18.0,1.5,55.0,310.0
Суп Yelli Масурдал из чечевицы,22.0,1.5,49.0,300.0
Суп Yelli Семь бобов,20.0,1.5,50.0,290.0
Суп Yelli Турецкий с булгуром,19.0,1.5,54.0,310.0
Суп Yelli Чаудер с рисом и кукурузой,10.7,1.2,76.0,350.0
Суп Бута рамен,3.6,4.1,6.1,76.0
Суп Гёдза мисо,3.4,4.9,6.5,83.0
Суп гороховый,4.4,2.4,8.9,66.0
Суп грибной,1.9,2.4,5.7,50.0
Суп Домашнее Бистро гороховый с копченостями,7.0,12.0,40.0,266.0
Суп Домашнее Бистро грибной с белыми грибами,4.0,10.0,42.0,274.0
Суп Домашнее Бистро куриный с вермишелью,7.0,8.0,40.0,260.0
Суп Домашнее Бистро рассольник с говядиной,1.5,7.0,11.0,109.0
Суп из зелёного горошка,3.2,1.2,11.2,56.0
Суп из лука-порея с макаронами,1.4,1.1,6.6,39.0
Суп из помидоров,1.3,1.8,1.9,28.0
Суп из помидоров с макаронами,1.5,1.8,3.3,35.0
Суп из помидоров с рисом,1.5,1.8,3.9,37.0
Суп из сельдерея,1.6,1.8,4.5,37.0
Суп из стручковой фасоли,2.2,0.6,8.9,43.0
Суп из цветной капусты (общепит),1.6,0.5,4.9,28.0
Суп из шпината с картофелем,2.2,0.9,6.6,40.0
Суп Икинацу мисо,0.3,0.3,6.1,28.0
Суп Исикари мисо,2.6,5.2,6.6,84.0
Суп Итальянский с мелкой пастой,18.0,1.5,55.0,310.0
Суп Каники мисо,2.0,2.8,6.3,59.0
Суп картофельный,1.4,1.1,6.6,39.0
Суп картофельный с крупой,1.3,1.2,9.5,54.0
Суп картофельный с макаронными изделиями,1.3,1.0,8.4,48.0
Суп Кимчи тиге,2.2,3.8,5.4,65.0
Суп Леовит Худеем за неделю Тыквенный с миндалем,7.0,6.0,49.0,275.0
Суп Лидкон гороховый со вкусом копченостей,16.0,4.5,42.0,270.0
Суп лимонный с рисом,1.4,2.2,8.7,58.0
Суп луковый,1.4,2.7,4.0,44.0
Суп Мангэцу куриму,5.0,4.0,11.0,101.0
Суп Мисо сиру,2.1,1.2,11.7,66.0
Суп молочный с макаронами,2.2,1.9,7.9,58.0
Суп молочный с рисом,1.8,1.9,7.3,54.0
Суп овощной,1.7,1.8,6.2,43.0
Суп овощной с фасолью,1.6,2.1,5.2,46.0
Суп перловый с грибами,1.6,1.2,6.4,43.0
Суп пшенный с мясом,2.9,2.2,6.4,57.0
Суп рисовый с мясом,0.7,1.1,5.2,34.0
Суп с бобовыми,3.4,2.2,1.4,66.0
Суп с рисом Asian Fusion грибной со шпинатом и яйцом,15.0,2.0,58.0,310.0
Суп Самуй сиру,2.0,3.0,6.9,62.0
Суп Суймоно,1.9,1.1,11.6,62.0
Суп Сякэ тядзукэ,2.4,2.8,4.0,51.0
Суп Темпура дзосуй,3.0,1.3,8.5,58.0
Суп Тори рамэн,1.9,1.7,8.2,55.0
Суп Удзура тамаго,2.6,1.1,7.3,50.0
Суп фасолевый,4.0,1.8,10.0,62.0
Суп фруктовый из яблок,0.1,0.1,11.8,42.0
Суп Хакусай бекон куриму,2.5,4.1,7.1,76.0
Суп харчо с мясом,3.1,4.5,5.5,75.0
Суп щавелевый,1.6,2.5,2.9,40.0
Суп Эби тай сиро,4.7,2.4,11.2,85.0
Суп Эби чили мисо,1.8,3.0,7.6,65.0
Суп-лапша Asian Fusion из морепродуктов с креветками,10.0,17.0,62.0,440.0
Суп-пюре Yelli из гороха с карри,21.0,2.0,50.0,310.0
Суп-пюре из рисовой крупы,1.4,1.3,7.7,48.0
Суп-пюре Леовит Худеем за неделю из помидоров по-Тоскански,6.5,5.0,45.0,250.0
Суп-пюре Леовит Худеем за неделю куриный,7.5,28.0,42.0,452.0
Супчик Heinz овощной с курочкой,13.0,11.0,61.0,393.0
Сурими,15.2,0.9,6.8,99.0
Суфле Бон Пари,4.2,0.0,76.6,323.0
Сухари диабетические,10.5,5.7,73.1,388.0
Сухари к чаю,10.0,2.3,73.8,397.0
Сухари панировочные,9.7,1.9,77.6,347.0
Сухари панировочные Myllyn Paras,13.9,2.5,72.5,372.0
Сухари с изюмом,8.4,4.9,78.5,395.0
Сухари с сахаром,9.5,4.2,72.1,368.0
Сухари с цукатами,9.7,3.5,80.3,384.0
Сухари сливочные,9.7,9.1,72.9,414.0
Сухарики из белого хлеба,11.2,1.4,72.2,331.0
Сухарики ржаные,16.0,1.0,70.0,336.0
Сухарики Хрусteam Багет сырное ассорти,10.5,15.7,66.0,445.0
Сухарики Хрусteam копчёная колбаска,9.1,14.4,64.0,423.0
Сухарики Хрусteam лесные грибы,9.0,14.3,66.0,428.0
Сухарики Хрусteam салями,8.5,12.0,69.0,425.0
Сухарики Хрусteam сметана,9.5,15.0,63.0,426.0
Сухарики Хрусteam сыр,9.1,14.5,65.0,427.0
Сухарики Хрусteam телятина на гриле,8.8,14.0,65.0,420.0
Сухарики Хрусteam томат,9.0,14.3,65.0,426.0
Суши Изуми-тай,8.4,1.6,15.2,108.0
Суши Ика,8.4,1.2,16.0,108.0
Суши Икура,13.6,5.5,15.6,161.0
Суши Инари кунсэй,11.0,8.6,11.5,151.0
Суши Инари магуро,10.7,9.3,11.3,172.0
Суши Инари сякэ,9.6,10.0,11.3,173.0
Суши Инари унаги,8.4,15.0,11.3,213.0
Суши Инари хамачи,9.6,10.0,11.3,173.0
Суши Инари хотатэ,6.9,8.1,11.8,147.0
Суши Кани,8.4,0.8,15.2,101.0
Суши Магуро,11.2,2.4,15.2,126.0
Суши Супайсу кани,7.3,12.3,13.3,193.0
Суши Супайсу магуро,9.3,13.3,13.3,209.0
Суши Супайсу сякэ,8.0,14.6,13.3,216.0
Суши Супайсу унаги,6.3,16.0,13.3,222.0
Суши Супайсу хамачи,7.0,15.3,13.3,218.0
Суши Супайсу хотатэ,4.0,12.7,14.0,183.0
Суши Супайсу шиитакэ,3.6,16.0,14.6,216.0
Суши Супайсу эби,7.3,12.3,13.6,193.0
Суши Сякэ,9.2,3.6,15.2,129.0
Суши Сякэ кунсей,10.4,5.6,15.2,152.0
Суши Тако,4.0,1.2,15.2,87.0
Суши Тамаго-яки,5.2,7.2,16.0,149.0
Суши Тобико,12.8,4.0,15.6,149.0
Суши Унаги,7.2,12.8,15.2,204.0
Суши Хамачи,8.0,4.8,15.2,136.0
Суши Хияши,5.0,3.6,15.6,114.0
Суши Хотатэ,3.6,1.6,16.0,93.0
Суши Эби,7.0,0.8,15.6,97.0
Сушки маковые,11.3,4.4,70.5,372.0
Сушки мини Ого! на фруктозе,10.5,4.0,76.0,380.0
Сыворотка творожная,0.8,0.2,3.5,20.0
Сыр Almette с белыми грибами,6.0,23.0,5.0,251.0
Сыр Almette с зеленью,6.0,20.0,3.0,216.0
Сыр Almette с йогуртом,7.0,15.0,5.0,183.0
Сыр Almette с огурцами и зеленью,5.0,20.0,3.0,212.0
Сыр Almette с хреном,6.0,20.0,4.0,220.0
Сыр Almette с чесноком,6.0,20.0,3.0,216.0
Сыр Almette сливочный,6.0,20.0,3.0,216.0
Сыр Artis для жарки на сковороде и гриле 45%,21.0,22.0,1.0,282.0
Сыр Bogda Milk Эгейский свежий 45%,16.5,18.0,0.0,228.0
Сыр Bonfesto Cremolle вяленые томаты,6.8,22.1,4.4,240.0
Сыр Bonfesto Cremolle солёные огурцы,7.2,22.4,2.1,240.0
Сыр Bonfesto Mozzarella Pizza,18.4,20.3,0.0,256.0
Сыр Bonfesto Ricotta Light мягкий,11.3,10.0,2.5,145.0
Сыр Bonvida Моцарелла для пиццы,17.0,16.8,3.0,231.0
Сыр Comella рассольный,13.5,13.3,5.0,194.0
Сыр Dolce Granto Пармезан 40%,30.0,28.0,0.0,372.0
Сыр Emborg Professional творожный 65%,6.0,28.3,3.0,290.0
Сыр Exquisa творожный с зеленью,6.7,22.0,3.0,237.0
Сыр Exquisa творожный с лососем,6.7,21.5,3.5,235.0
Сыр Fallini Rapesan тёртый,49.5,29.2,4.4,478.0
Сыр Grill Akadia,17.0,19.0,3.0,245.0
Сыр Hochland Bleu,15.0,39.0,1.0,415.0
Сыр Hochland плавленый ассорти,10.0,27.0,5.0,303.0
Сыр Hochland плавленый Маасдам ломтики,12.0,22.0,7.0,270.0
Сыр Hochland плавленый с ветчиной ломтики,14.3,23.2,4.2,282.0
Сыр Hochland плавленый с огурцами и укропом ломтики,15.0,21.0,5.0,269.0
Сыр Hochland плавленый с салями и специями ломтики,13.0,24.0,4.0,284.0
Сыр Hochland плавленый Сэндвич ломтики,14.0,23.0,4.0,279.0
Сыр Hochland плавленый Чизбургер ломтики,14.0,23.0,4.0,279.0
Сыр Hochland творожный с зеленью,6.0,20.0,2.0,212.0
Сыр Hochland творожный сливочный,6.5,22.7,3.6,245.0
Сыр Hochland Фетакса Классическая в рассоле 45%,11.0,14.5,2.0,183.0
Сыр Laime Пармезан,35.0,24.0,0.0,342.0
Сыр Molli творожный 27%,6.0,27.0,3.0,306.0
Сыр Mr.Chedd Чеддер Red 45%,24.8,25.5,0.0,329.0
Сыр Old Amsterdam,6.2,39.0,0.0,407.0
Сыр Pinar Labne мягкий,4.5,18.0,3.6,194.0
Сыр Premier of Taste мягкий с зеленью и огурчиком,4.4,16.9,2.8,182.0
Сыр President Cream Cheese сливочный творожный,5.5,24.0,2.7,249.0
Сыр President Rondele козий,9.0,10.5,4.0,354.0
Сыр President Rondele творожный,7.0,31.0,2.5,317.0
Сыр President Rondele творожный с орехами,6.5,31.0,2.5,315.0
Сыр President Rondele творожный с чесноком и травами,6.8,31.2,4.2,325.0
Сыр President Мастер Бутерброда Лёгкий,16.5,8.5,9.5,185.0
Сыр President Мастер Бутерброда Мааздам,13.5,17.5,6.0,240.0
Сыр President Мастер Бутерброда Моцарелла,9.0,20.0,6.5,281.0
Сыр President Пише Миньон,18.0,28.0,1.0,324.0
Сыр Unagrande Dolce Рикотта с натуральным шоколадом,4.9,12.9,23.1,228.0
Сыр Unagrande Кремчиз №1,8.5,24.5,0.0,255.0
Сыр Valio Polar 5%,34.0,5.0,0.0,180.0
Сыр Valio рассыпчатый творожный 2%,13.0,2.0,2.0,80.0
Сыр Viola с ветчиной,11.0,28.0,2.0,305.0
Сыр Viola с лисичками,11.0,28.0,2.0,305.0
Сыр Viola с паприкой,11.0,28.0,2.0,305.0
Сыр Viola с укропом и огурцом,11.0,28.0,2.0,305.0
Сыр Viola сливочный,11.0,28.0,2.0,305.0
Сыр Vitalat Рикотта,7.0,6.0,0.0,97.0
Сыр VolkoMolko веганский Плавящийся,13.0,35.0,16.0,429.0
Сыр а ла Каймак Mlekara Sabac мягкий 70%,6.1,23.5,1.1,242.0
Сыр а ла Каймак мягкий 70%,6.1,23.5,1.1,242.0
Сыр Абонданс,26.3,26.6,0.0,350.0
Сыр Адыгейский,18.5,14.0,0.0,240.0
Сыр Алтайский,26.0,26.5,3.5,356.0
Сыр Альпийский,25.0,27.0,0.0,353.0
Сыр Амадеус,28.6,29.3,0.1,275.0
Сыр Амбер,31.0,10.0,10.0,220.0
Сыр Анари,11.0,15.0,2.0,195.0
Сыр Аппенцеллер,24.7,31.7,2.0,403.0
Сыр Арла Chef Bake'n'Roll крем сливочный 25%,6.3,25.0,5.4,272.0
Сыр Арла Буко,8.5,17.0,3.0,200.0
Сыр Арла Буко Баланс,8.5,17.0,3.0,200.0
Сыр Арла Натура Лайт,29.0,16.0,1.0,260.0
Сыр Арла Натура Моцарелла,26.0,21.7,1.0,303.0
Сыр Арла Натура Сливочный,25.0,26.0,0.0,340.0
Сыр Асьяго,10.9,8.1,1.2,122.0
Сыр Атлет,30.0,19.0,0.0,290.0
Сыр Бавария Блю,13.5,43.8,0.5,450.0
Сыр Бийский,24.2,29.9,0.0,371.0
Сыр Бонгрейн Фол Эпи,28.8,16.0,1.8,267.0
Сыр Бофор,26.3,26.6,0.0,350.0
Сыр Брест-Литовск Классический 45%,26.3,26.1,0.0,340.0
Сыр Брест-Литовск Лёгкий 35%,31.2,18.2,0.0,289.0
Сыр Брест-Литовск Сливочный 50%,22.5,29.5,0.0,356.0
Сыр Брест-Литовск Финский 45%,23.0,24.0,0.0,308.0
Сыр Брест-Литовск Эдам 40%,28.4,21.6,0.0,308.0
Сыр Бри,21.0,23.0,0.0,291.0
Сыр брынза (из коровьего молока),17.9,20.1,0.0,260.0
Сыр брынза (из овечьего молока),14.6,25.5,0.0,298.0
Сыр Брынза Сербская,11.9,15.5,2.6,208.0
Сыр Бурата,17.0,20.0,1.8,255.0
Сыр Вырусский,29.0,15.0,0.0,258.0
Сыр Гальбани Моцарелла,17.5,13.5,1.0,196.0
Сыр Гауда,25.0,27.0,2.0,356.0
Сыр Гауда Кезский сырзавод,26.7,20.8,0.0,294.0
Сыр Гауда Фермер-Центр.рф,25.0,24.0,0.0,320.0
Сыр Гермелин,20.0,25.0,1.0,303.0
Сыр Гиагинский Косичка копченый,22.6,23.0,0.0,297.0
Сыр Гиагинский Чечил,19.5,18.8,0.0,256.0
Сыр Голландский,26.0,26.8,0.0,352.0
Сыр Горгонзола,19.0,26.0,0.0,330.0
Сыр Горный,29.3,29.7,1.0,400.0
Сыр Грана Падано,33.0,28.0,0.0,384.0
Сыр Грация 20%,30.0,9.0,0.0,209.0
Сыр Грюйер,27.0,31.0,0.0,396.0
Сыр Данбо,25.0,26.0,1.0,340.0
Сыр Датский,25.0,24.3,0.0,330.0
Сыр Деревенский,10.3,5.3,3.0,103.0
Сыр Джугас,33.0,25.0,1.7,364.0
Сыр Домашний,12.7,5.0,4.0,113.0
Сыр Дор Блю,21.0,30.0,0.0,354.0
Сыр Дор Блю a la creme,7.0,25.0,3.0,265.0
Сыр Дорогобужский,20.0,28.0,0.0,332.0
Сыр зеленый,26.0,26.5,3.5,356.0
Сыр Избёнка (ВкусВилл) Мегард твердый,30.5,24.1,0.0,371.0
Сыр Ичалки Диетический 27%,12.2,12.7,0.0,164.0
Сыр Каждый день Рикотта,9.0,10.7,1.0,148.0
Сыр Калинка Pecoro мягкий 35%,20.4,11.6,0.0,186.0
Сыр Камамбер,21.0,23.0,0.0,291.0
Сыр Камбоцола,13.5,43.8,0.5,427.0
Сыр Кантали,26.7,14.1,0.0,234.0
Сыр Карат Violette Cream cheese сливочный,7.7,26.4,2.9,260.0
Сыр Карат Violette творожный Ароматная зелень,7.1,27.4,2.6,285.0
Сыр Карат Violette творожный сливочный,8.9,27.8,3.0,298.0
Сыр Карат Волна плавленый,15.1,23.1,1.9,276.0
Сыр Карат Дружба плавленый,15.0,24.2,2.5,287.0
Сыр Карат кисломолочный плавленый,14.1,18.0,3.7,233.0
Сыр Карат Орбита плавленый,24.7,8.0,0.0,171.0
Сыр Карат с грибами для супа плавленый,15.9,25.9,1.9,304.0
Сыр Карат с луком для супа плавленый,16.4,28.6,0.0,323.0
Сыр Карат шоколадный плавленый,11.6,18.5,25.8,311.0
Сыр Карат Янтарь плавленый,12.0,26.4,3.1,297.0
Сыр Кастелло Бри,19.0,24.0,1.0,296.0
Сыр Кастелло Данаблю,19.7,28.6,0.7,339.0
Сыр Качокавалло,22.6,13.1,0.0,209.0
Сыр Киприно Light 15%,29.5,15.0,0.0,260.0
Сыр Кисломолочный,31.0,0.7,0.3,133.0
Сыр Кобрин Черный принц,25.2,22.0,0.0,328.0
Сыр Козий,21.3,21.7,0.7,290.0
Сыр колбасный копчёный,23.0,19.0,0.0,271.0
Сыр Комте,28.4,32.0,0.0,407.0
Сыр Копчёный,27.7,25.3,7.3,380.0
Сыр Костромской,25.2,26.3,0.0,345.0
Сыр Красная цена Голландский,26.8,25.2,0.0,334.0
Сыр Красная цена Российский,28.0,22.5,0.0,342.0
Сыр Красная цена Тильзитер,26.0,23.4,0.0,315.0
Сыр Курт,25.0,16.0,2.7,260.0
Сыр Ламбер,23.7,30.5,0.0,377.0
Сыр Ламбер сливочный,23.7,32.5,0.0,395.0
Сыр Ламбер Тильзитер,24.0,25.0,0.0,339.0
Сыр Ларец с пажитником,23.8,30.3,0.0,376.0
Сыр Латвийский,23.3,24.1,0.0,316.0
Сыр Ливаро,20.0,29.0,0.0,340.0
Сыр Лимбургер,20.1,27.3,0.1,327.0
Сыр Литовский,27.9,14.7,0.0,250.0
Сыр Луговая свежесть Легкий 20%,29.0,9.0,0.0,200.0
Сыр Маасдам,23.5,26.0,0.0,350.0
Сыр Манчего,24.0,32.0,2.6,395.0
Сыр Маскарпоне,4.8,41.5,4.8,412.0
Сыр Мексиканский,24.7,19.4,3.4,282.0
Сыр Милково Дары Кавказа мягкий 45%,18.5,14.0,0.0,200.0
Сыр Мондзеер,22.0,20.3,6.7,280.0
Сыр Московский,26.0,26.5,3.5,356.0
Сыр Моцарелла,18.8,18.1,1.0,242.0
Сыр Мраморный,24.8,25.2,0.0,326.0
Сыр Мюнстер,24.7,17.6,3.5,274.0
Сыр Ночерино,20.0,28.0,0.0,332.0
Сыр Ольтермани 17%,29.0,17.0,0.0,270.0
Сыр Ольтермани 29%,25.0,29.0,0.0,360.0
Сыр Ольтермани 55%,23.0,34.0,0.0,400.0
Сыр Ольтермани 9%,31.0,9.0,0.0,210.0
Сыр Осетинский,26.0,26.5,3.5,356.0
Сыр Паладин Моцарелла,19.0,20.0,0.0,255.0
Сыр Панир,12.8,15.7,21.0,274.0
Сыр Пармезан,33.0,28.0,0.0,392.0
Сыр Пекорино,25.5,33.0,0.0,419.0
Сыр Перлини копченый,17.7,18.0,0.0,233.0
Сыр Песто зелёный,23.0,32.0,0.0,380.0
Сыр плавленый,16.8,11.2,23.8,257.0
Сыр плавленый шоколадный,11.6,18.5,25.8,311.0
Сыр Полесский,23.0,14.3,0.0,221.0
Сыр Пошехонский,26.0,26.5,0.0,350.0
Сыр Прибалтийский,24.6,25.2,0.0,332.0
Сыр Радость вкуса Лёгкий 35%,26.5,17.0,0.0,259.0
Сыр Раклет,22.7,28.0,1.0,357.0
Сыр Реблошон,19.7,25.6,2.3,327.0
Сыр Рикотта,11.0,13.0,3.0,174.0
Сыр Ровеньки Диетический 20%,32.0,9.0,0.0,209.0
Сыр Ровеньки Королевский 45%,24.5,25.5,0.0,328.0
Сыр Рокамадур,21.3,21.7,0.7,290.0
Сыр Рокишкио,32.0,25.0,0.0,366.0
Сыр Рокфор,20.0,28.0,0.0,337.0
Сыр Российский,24.1,29.5,0.3,363.0
Сыр Ружетт,35.0,15.0,0.5,377.0
Сыр Русская Моцарелла Кезский сырзавод,23.7,21.2,0.0,286.0
Сыр с белой плесенью,21.3,21.7,0.0,290.0
Сыр с голубой плесенью,17.6,31.0,1.8,363.0
Сыр с красной плесенью,20.0,29.0,0.0,340.0
Сыр с плесенью,20.0,29.0,0.0,340.0
Сыр Салер,26.3,26.6,0.0,350.0
Сыр Сармич Гурман Лёгкий,25.0,15.0,0.0,220.0
Сыр Сармич Тильзитер,26.0,26.0,0.0,340.0
Сыр Сбринц,30.0,33.0,0.0,429.0
Сыр Сваля 45% в нарезке,26.5,25.2,0.0,339.0
Сыр Сиртаки рассольный Classic,10.0,17.0,8.0,225.0
Сыр Сметанковый,21.0,27.5,0.0,332.0
Сыр Снофриск козий натуральный,6.0,25.0,0.0,257.0
Сыр Степной,24.0,26.3,1.7,350.0
Сыр Стилтон,21.4,28.7,2.3,353.0
Сыр Сулугуни,20.0,24.0,0.0,290.0
Сыр Сулугуни Кезский сырзавод,22.3,19.0,0.0,260.0
Сыр Сулугуни копченый Кезский сырзавод,22.3,19.0,0.0,246.0
Сыр Сыробогатов лёгкий 25%,33.0,13.0,0.0,254.0
Сыр Сыробогатов Прибалтийский 9%,26.0,9.0,0.0,190.0
Сыр сычужный,22.0,23.4,0.0,305.0
Сыр Творожный ломтик с прованскими травами,12.7,30.0,1.4,327.0
Сыр Тильзитер,27.8,25.0,0.1,334.0
Сыр Тофу,8.1,4.2,0.6,73.0
Сыр Тофу Bon Soya с укропом и петрушкой,20.0,10.0,1.0,172.0
Сыр Тофу Боб и Соя по-русски,9.0,5.0,3.0,93.0
Сыр Тофу ВкусВилл классический,12.7,6.6,5.5,132.0
Сыр Тофу Житное Подворье с укропом и чесноком,7.0,2.3,1.0,55.0
Сыр Тофу копчёный,8.7,3.7,1.7,80.0
Сыр Тофу шелковый,5.6,4.4,8.1,94.0
Сыр Тысяча Озёр лёгкий 15%,31.0,15.0,0.0,268.0
Сыр Угличский,25.8,26.3,0.0,347.0
Сыр Фавита,14.0,12.0,3.0,176.0
Сыр Фермерский,18.5,14.1,1.5,207.0
Сыр Фета,17.0,24.0,0.0,290.0
Сыр Филадельфия,5.4,24.0,3.2,253.0
Сыр Фонтина,25.6,31.1,1.6,389.0
Сыр Холлендер,28.0,17.0,0.1,265.0
Сыр Чанах,19.5,22.0,0.0,285.0
Сыр Чеддер,23.0,32.0,0.0,392.0
Сыр Чечил,19.5,22.8,1.9,313.0
Сыр Чечил рассольный копчёный,19.5,26.0,2.2,320.0
Сыр Швейцарский,24.9,31.8,0.0,396.0
Сыр Эдам,24.0,26.0,0.0,330.0
Сыр Эдам копчёный,24.8,25.0,0.0,334.0
