Name,Weight,TypeOfIngredient,Index
Сок лайма,0.5,шт.,60
Мед,1.0,ч.л.,60
Соль,0.0,по вкусу,60
Для подачи,0.0,заголовок,60
Кунжутное семя,2.0,ст.л.,60
Кинза,0.0,по вкусу,60
Мука,350.0,гр.,61
Сливочное масло,100.0,гр.,61
Яйцо,1.0,шт.,61
Сахар,2.0,ст.л.,61
Сметана,100.0,гр.,61
Соль,0.0,по вкусу,61
Сода,0.25,ч.л.,61
Начинка,0.0,заголовок,61
Вишня,1.0,кг.,61
Сахар,100.0,гр.,61
Кукурузный крахмал,30.0,гр.,61
Ванильный сахар,15.0,гр.,61
яйцо + капелька молока для смазывания пирога.,0.0,по вкусу,61
Мука,200.0,гр.,62
Сливочное масло,100.0,гр.,62
Желток,1.0,шт.,62
Сахарная пудра,50.0,гр.,62
Холодная вода,2.0,ст.л.,62
Соль,0.0,по вкусу,62
Для крема,0.0,заголовок,62
Сливочное масло,75.0,гр.,62
Сахар,70.0,гр.,62
Миндальная мука,75.0,гр.,62
Яйцо,1.0,шт.,62
Начинка,0.0,заголовок,62
Вишня,250.0,гр.,62
Черешня,250.0,гр.,62
Сахар,60.0,гр.,62
Кукурузный крахмал,2.0,ст.л.,62
Ваниль,0.0,по вкусу,62
яйцо + капелька молока.,0.0,по вкусу,62
Баранина,400.0,гр.,63
Курица,600.0,гр.,63
Морковь,2.0,шт.,63
Болгарский перец,2.0,шт.,63
Лук репчатый,2.0,шт.,63
Помидор,2.0,шт.,63
Растительное масло,0.0,по вкусу,63
Чеснок,0.0,по вкусу,63
Кинза,0.0,по вкусу,63
Зира,1.0,ч.л.,63
Кориандр,0.0,по вкусу,63
Соль,0.0,по вкусу,63
Черный перец,0.0,по вкусу,63
Красный острый перец,0.0,по вкусу,63
Дополнительно,0.0,заголовок,63
Репа,2.0,шт.,63
Тесто,0.0,заголовок,64
Мука,200.0,гр.,64
Сливочное масло,100.0,гр.,64
Желток,1.0,шт.,64
Сахарная пудра,50.0,гр.,64
Холодная вода,2.0,ст.л.,64
Соль,0.0,по вкусу,64
Для крема,0.0,заголовок,64
Маскарпоне,250.0,гр.,64
Сливки 33-35%,150.0,гр.,64
Белый шоколад,70.0,гр.,64
Апельсин,0.3333333333333333,шт.,64
Апельсиновый сок,1.0,ст.л.,64
Свежие ягоды,300.0,гр.,64
Манго,1.0,шт.,65
Авокадо,1.0,шт.,65
Краб,200.0,гр.,65
Салат корн,80.0,гр.,65
Водоросли нори,25.0,гр.,65
Помидоры,1.0,шт.,65
Соус Айоли,0.0,заголовок,65
Оливковое масло,5.0,ст.л.,65
Желток,1.0,шт.,65
Лимонный сок,1.0,шт.,65
Чеснок,1.0,шт.,65
Дижонская горчица,0.0,мало,65
Черный перец,0.0,по вкусу,65
Соль,0.0,по вкусу,65
Мука,350.0,гр.,66
Сливочное масло,100.0,гр.,66
Яйцо,1.0,шт.,66
Сахар,2.0,ст.л.,66
Сметана,100.0,гр.,66
Соль,0.0,по вкусу,66
Сода,0.25,ч.л.,66
Начинка,0.0,заголовок,66
Ревень,600.0,гр.,66
Клубника,300.0,гр.,66
Кукурузный крахмал,30.0,гр.,66
Мука,20.0,гр.,66
Молотый мускатный орех,0.0,по вкусу,66
Сок лимона,1.0,ч.л.,66
Сахар,200.0,гр.,66
Сливочное масло,30.0,гр.,66
Яйцо + капелька молока для смазывания пирога.,0.0,по вкусу,66
Куриная голень,8.0,шт.,67
Помидоры черри,0.0,по вкусу,67
Базилик,0.0,по вкусу,67
Маслины,100.0,гр.,67
Чиабатта,0.0,по вкусу,67
Бекон,8.0,шт.,67
Оливковое масло,0.0,по вкусу,67
Черный перец,0.0,по вкусу,67
Соль,0.0,по вкусу,67
Чеснок,5.0,шт.,67
Дополнительно,0.0,заголовок,67
Паприка,0.0,по вкусу,67
Специи для птицы,0.0,по вкусу,67
Говядина,150.0,гр.,68
Огурец,1.0,шт.,68
Редис,6.0,шт.,68
Яйцо,2.0,шт.,68
Ржаной сухарик,2.0,шт.,68
Несладкий квас,700.0,мл.,68
Яблочный уксус,1.0,ст.л.,68
Зеленый лук,0.0,по вкусу,68
Горчица,2.0,ст.л.,68
Хрен,2.0,ст.л.,68
Сметана,2.0,ст.л.,68
"Соль, свежемолотый перец по вкусу",0.0,по вкусу,68
Яйцо,3.0,шт.,69
Бальзамический уксус,1.0,ст.л.,69
Соль,0.0,по вкусу,69
Соус,0.0,заголовок,69
Желток,1.0,шт.,69
Сливочное масло,45.0,гр.,69
Сок лимона,0.5,ч.л.,69
Соль,0.0,по вкусу,69
Дополнительно,0.0,заголовок,69
Хлеб,3.0,шт.,69
Наггетс куриный,3.0,шт.,69
Авокадо,1.0,шт.,69
Сок лимона,0.0,по вкусу,69
Соль,0.0,по вкусу,69
"По желанию: зелень, помидор.",0.0,по вкусу,69
Салат романо,200.0,гр.,70
Куриная грудка,200.0,гр.,70
Помидоры черри,10.0,шт.,70
Гренки,20.0,гр.,70
Сыр Пармезан,40.0,гр.,70
Анчоус,2.0,шт.,70
Соль,0.0,по вкусу,70
Черный перец,0.0,по вкусу,70
Оливковое масло,0.0,по вкусу,70
Соус,0.0,заголовок,70
Желток,2.0,шт.,70
Соль,0.0,по вкусу,70
Оливковое масло,100.0,мл.,70
Сыр Пармезан,20.0,гр.,70
Чеснок,0.0,по вкусу,70
Анчоус,2.0,шт.,70
Вустерский соус,1.0,ч.л.,70
Сок лимона,1.0,ч.л.,70
Соль,0.0,по вкусу,70
Мед,0.0,по вкусу,70
Свинина,600.0,гр.,71
Лук репчатый,2.0,шт.,71
Корень имбиря,0.0,по вкусу,71
Соевый соус,0.0,по вкусу,71
Кинза,0.0,по вкусу,71
Черный перец,0.0,по вкусу,71
Соль.,0.0,по вкусу,71
Тесто,0.0,заголовок,72
Мука,200.0,гр.,72
Сливочное масло,100.0,гр.,72
Желток,1.0,шт.,72
Сахарная пудра,50.0,гр.,72
Холодная вода,2.0,ст.л.,72
Соль,0.0,по вкусу,72
Заварной крем,0.0,заголовок,72
Молоко,250.0,мл.,72
Ваниль,1.0,шт.,72
Желток,3.0,шт.,72
Сахар,65.0,гр.,72
Кукурузный крахмал,3.0,ч.л.,72
Сливочное масло,2.0,ч.л.,72
Взбитые сливки,0.0,заголовок,72
Сливки 35%,100.0,мл.,72
Сахарная пудра,50.0,гр.,72
Ванильная эссенция,0.0,по вкусу,72
Начинка,0.0,заголовок,72
Клубника,400.0,гр.,72
Творог,700.0,гр.,73
Курага,100.0,гр.,73
Сливочное масло,90.0,гр.,73
Сливки,100.0,мл.,73
Вареная сгущенка,350.0,гр.,73
Ванильная эссенция,1.0,ч.л.,73
Говядина,700.0,гр.,74
Шампиньоны,400.0,гр.,74
Репчатый лук,1.0,шт.,74
Помидоры черри,200.0,гр.,74
Кабачок,1.0,шт.,74
Кукурузный крахмал,1.0,ст.л.,74
Сыр,150.0,гр.,74
Майонез,100.0,гр.,74
Горчица,1.0,ст.л.,74
Сметана,100.0,гр.,74
Кориандр,0.0,по вкусу,74
Розмарин,0.0,по вкусу,74
Соль,0.0,по вкусу,74
Черный перец,0.0,по вкусу,74
Цыпленок,1.0,шт.,75
Сливочное масло,30.0,гр.,75
Растительное масло,1.0,ст.л.,75
Хмели-сунели,0.0,по вкусу,75
Кинза,0.0,по вкусу,75
Гранат,0.0,по вкусу,75
Соус,0.0,заголовок,75
Чеснок,0.0,по вкусу,75
Сливки 10%,200.0,мл.,75
Сметана,2.0,ст.л.,75
Аджика,100.0,гр.,75
Перец жгучий,0.0,по вкусу,75
Соль,0.0,по вкусу,75
Тесто,0.0,заголовок,76
Мука,350.0,гр.,76
Масло сливочное,100.0,гр.,76
Сметана,100.0,гр.,76
Яйцо,1.0,шт.,76
Сахар,2.0,ст.л.,76
Соль,0.0,по вкусу,76
Сода,0.25,ч.л.,76
Лимонный сок,1.0,шт.,76
Начинка,0.0,заголовок,76
Судак,700.0,гр.,76
Яйцо,2.0,шт.,76
Репчатый лук,1.0,шт.,76
Сметана,150.0,гр.,76
Майонез,50.0,гр.,76
Оливковое масло,2.0,ст.л.,76
Петрушка,0.0,по вкусу,76
Соль,0.0,по вкусу,76
Яйцо + капелька молока для смазывания пирога,0.0,по вкусу,76
Творог,500.0,гр.,77
Цукаты,100.0,гр.,77
Сливочное масло,90.0,гр.,77
Желток,2.0,шт.,77
Сливки,100.0,мл.,77
Сахарная пудра,80.0,гр.,77
Миндаль,30.0,гр.,77
Ваниль,1.0,шт.,77
Ракушки вонголе,1.0,кг.,78
Чеснок,0.0,по вкусу,78
Перец Чили,1.0,шт.,78
Петрушка,0.0,по вкусу,78
Белое сухое вино,100.0,мл.,78
Спагетти,300.0,гр.,78
Помидоры черри,8.0,шт.,78
Оливковое масло,0.0,по вкусу,78
Соль,0.0,по вкусу,78
Свежемолотый перец,0.0,по вкусу,78
Говядина,1.0,кг.,79
Оливковое масло,3.0,ст.л.,79
Сливочное масло,1.0,ст.л.,79
Чеснок,0.0,по вкусу,79
Тимьян,0.0,по вкусу,79
Розмарин,0.0,по вкусу,79
Соль,0.0,по вкусу,79
Черный перец,0.0,по вкусу,79
"Любой набор специй для говядины: розмарин, тимьян, зерна кориандра, молотая паприка, чили, зерна горчицы и т.п.",0.0,по вкусу,79
Блины,0.0,заголовок,80
Мука,230.0,гр.,80
Яйцо,1.0,шт.,80
Кефир,500.0,мл.,80
Молоко,200.0,мл.,80
Сода,1.0,ч.л.,80
Сахар,3.0,ст.л.,80
Соль,0.0,мало,80
Растительное масло,3.0,ст.л.,80
Для крема,0.0,заголовок,80
Маскарпоне,250.0,гр.,80
Творог,250.0,гр.,80
Сливки 33-35%,200.0,мл.,80
Сгущённое молоко,250.0,мл.,80
Лимон,1.0,шт.,80
Прослойка,0.0,заголовок,80
Замороженные ягоды,500.0,гр.,80
Сахар,5.0,ст.л.,80
Корица,0.0,по вкусу,80
Ваниль,0.0,по вкусу,80
Желатин,0.0,по вкусу,80
Дополнительно,0.0,заголовок,80
Свежие ягоды,0.0,по вкусу,80
Мука,230.0,гр.,81
Яйцо,2.0,шт.,81
Кефир,500.0,мл.,81
Молоко,200.0,мл.,81
Сода,1.0,ч.л.,81
Сахар,3.0,ст.л.,81
Соль,0.0,мало,81
Растительное масло,3.0,ст.л.,81
Дополнительно,0.0,заголовок,81
Шоколадная паста,0.0,по вкусу,81
Клубника,0.0,по вкусу,81
Банан,0.0,по вкусу,81
Мука,125.0,гр.,82
Яйцо,2.0,шт.,82
Сливки 20 %,100.0,мл.,82
Молоко,120.0,мл.,82
Сахар,2.0,ст.л.,82
Коричневый сахар,1.0,ст.л.,82
Соль,0.0,по вкусу,82
Ванильная эссенция,0.0,по вкусу,82
Лимон,0.0,по вкусу,82
Для подачи,0.0,заголовок,82
Свежие ягоды,0.0,по вкусу,82
Кленовый сироп,0.0,по вкусу,82
Сахарная пудра,0.0,по вкусу,82
Вишневый джем,0.0,по вкусу,82
Сметана,0.0,по вкусу,82
Говяжья печень,700.0,гр.,83
Сливки 20 %,150.0,мл.,83
Сметана,100.0,гр.,83
Лук репчатый,1.0,шт.,83
Петрушка,0.0,по вкусу,83
Дижонская горчица,1.0,ч.л.,83
Сливочное масло,30.0,гр.,83
Оливковое масло,0.0,по вкусу,83
Чеснок,0.0,по вкусу,83
Белые сушеные грибы,0.0,по вкусу,83
Соль,0.0,по вкусу,83
Черный перец,0.0,по вкусу,83
Для подачи: соленый огурец и гарнир на ваш вкус.,0.0,по вкусу,83
Курица,1.0,шт.,84
Корень имбиря,100.0,гр.,84
Соевый соус,100.0,мл.,84
Мед,3.0,ст.л.,84
Кинза,0.0,по вкусу,84
Чеснок,0.0,по вкусу,84
Лайм,1.0,шт.,84
Кунжутное семя,0.0,по вкусу,84
Для маринада,0.0,заголовок,84
Оливковое масло,0.0,по вкусу,84
Соль,0.0,по вкусу,84
Черный перец,0.0,по вкусу,84
Специи для птицы,0.0,по вкусу,84
Тыква,1.0,кг.,85
Чеснок,0.0,по вкусу,85
Сливки 20 %,200.0,мл.,85
Тимьян,0.0,по вкусу,85
Креветки,300.0,гр.,85
Бальзамический крем,0.0,по вкусу,85
Паприка,0.0,по вкусу,85
Мускатный орех,0.0,по вкусу,85
Оливковое масло,0.0,по вкусу,85
Соль,0.0,по вкусу,85
Черный перец,0.0,по вкусу,85
Тесто,0.0,заголовок,86
Мука,350.0,гр.,86
Сливочное масло,100.0,гр.,86
Сметана,100.0,гр.,86
Яйцо,1.0,шт.,86
Сахар,2.0,ст.л.,86
Соль,0.0,по вкусу,86
Сода,0.25,ч.л.,86
Начинка,0.0,заголовок,86
Курица,800.0,гр.,86
Лук шалот,2.0,шт.,86
Чеснок,0.0,по вкусу,86
Сладкий перец,2.0,шт.,86
Помидоры черри,8.0,шт.,86
Оливковое масло,0.0,по вкусу,86
Тимьян,0.0,по вкусу,86
Моцарелла,200.0,гр.,86
Соль,0.0,по вкусу,86
Черный перец,0.0,по вкусу,86
Яйцо с каплей молока для смазывания теста.,0.0,по вкусу,86
Фарш,500.0,гр.,87
Яйцо,1.0,шт.,87
Белый хлеб,80.0,гр.,87
Манка,2.0,ст.л.,87
Сливки 10%,100.0,мл.,87
Шпинат,30.0,гр.,87
Морковь,1.0,шт.,87
Лук репчатый,0.3333333333333333,шт.,87
Растительное масло,0.0,по вкусу,87
Тесто,0.0,заголовок,88
Мука,250.0,гр.,88
Сливочное масло,120.0,гр.,88
Желток,2.0,шт.,88
Сахар,2.0,ст.л.,88
Соль,0.0,по вкусу,88
Холодная вода,1.0,ст.л.,88
Начинка,0.0,заголовок,88
Лимон,3.0,шт.,88
Апельсин,1.0,шт.,88
Яблоко,1.0,шт.,88
Кукурузный крахмал,4.0,ст.л.,88
Сахар,200.0,гр.,88
небольшое яйцо (можно перепелиное)+ капля молока для смазывания пирога.,0.0,по вкусу,88
Кролик,1.0,кг.,89
Шампиньоны,200.0,гр.,89
Лук шалот,1.0,шт.,89
Сметана,400.0,гр.,89
Дижонская горчица,2.0,ст.л.,89
Мед,1.0,ст.л.,89
Петрушка,0.0,по вкусу,89
Тимьян,0.0,по вкусу,89
Оливковое масло,0.0,по вкусу,89
Сливочное масло,0.0,по вкусу,89
Чеснок,0.0,по вкусу,89
"Для маринада: травы - измельчённый эстрагон, шалфей и розмарин. Я использовала свежие, но можно сухие. Полстакана белого вина.",0.0,по вкусу,89
Фарш,600.0,гр.,90
Панировочные сухари,2.0,ст.л.,90
Яйцо,1.0,шт.,90
Лук шалот,1.0,шт.,90
Чеснок,0.0,по вкусу,90
Петрушка,0.0,по вкусу,90
Сливки 20 %,400.0,мл.,90
Мука,1.0,ст.л.,90
Сливочное масло,2.0,ст.л.,90
Оливковое масло,0.0,по вкусу,90
Соль,0.0,по вкусу,90
Черный перец,0.0,по вкусу,90
Мускатный орех,0.0,по вкусу,90
Паприка,0.0,по вкусу,90
Сыр маасдам,50.0,гр.,90
Бульон (говяжий или куриный). Часть сливок можно заменить на бульон. Можно полностью приготовить с бульоном и добавить в конце сметану.,0.0,по вкусу,90
Тесто,0.0,заголовок,91
Мука,500.0,гр.,91
Яйцо,1.0,шт.,91
Вода,200.0,мл.,91
Растительное масло,1.0,ст.л.,91
Соль,1.0,ч.л.,91
Начинка,0.0,заголовок,91
Баранина,600.0,гр.,91
Тыква,300.0,гр.,91
Репчатый лук,3.0,шт.,91
Черный перец,0.0,по вкусу,91
Соль,0.0,по вкусу,91
Вода,0.0,по вкусу,91
Растительное масло,0.0,по вкусу,91
Сливочное масло,0.0,по вкусу,91
Дополнительно,0.0,заголовок,91
Курдючный жир,100.0,гр.,91
Для подачи,0.0,заголовок,91
Сметана,0.0,по вкусу,91
Аджика,0.0,по вкусу,91
Тесто,0.0,заголовок,92
Мука,300.0,гр.,92
Вода,150.0,мл.,92
Желток,1.0,шт.,92
Растительное масло,5.0,ст.л.,92
Соль,0.0,по вкусу,92
Начинка,0.0,заголовок,92
Треска,300.0,гр.,92
Форель,400.0,гр.,92
Креветки,300.0,гр.,92
Сливки 33-35%,300.0,мл.,92
Бекон,80.0,гр.,92
Сливочное масло,50.0,гр.,92
Белый перец,0.0,по вкусу,92
Соль,0.0,по вкусу,92
Лимон,0.0,по вкусу,92
Желток плюс несколько капель молока для смазывания теста.,0.0,по вкусу,92
Сладкий перец,8.0,шт.,93
Фарш,700.0,гр.,93
Булгур,100.0,гр.,93
Лук репчатый,1.0,шт.,93
Чеснок,0.0,по вкусу,93
Петрушка,0.0,по вкусу,93
Яйцо,2.0,шт.,93
Сметана,400.0,гр.,93
Консервированные томаты в собственном соку,200.0,гр.,93
Паприка,1.0,ст.л.,93
Черный перец,0.0,по вкусу,93
Соль,0.0,по вкусу,93
Сливочное масло,0.0,по вкусу,93
Тимьян,0.0,по вкусу,93
Корейка ягненка,800.0,гр.,94
Дижонская горчица,1.0,ст.л.,94
Мед,1.0,ч.л.,94
Фисташки,50.0,гр.,94
Хлебные крошки,1.0,ст.л.,94
Сливочное масло,1.0,ст.л.,94
Оливковое масло,2.0,ст.л.,94
Розмарин,0.0,по вкусу,94
Тимьян,0.0,по вкусу,94
Соль,0.0,по вкусу,94
"Для маринада смесь сухих специй(готовая или сделать самим) - кориандр, майоран, можжевельник, паприка, черный перец, мускатный орех.",0.0,по вкусу,94
Тесто,0.0,заголовок,95
Мука,250.0,гр.,95
Сливочное масло,125.0,гр.,95
Яйцо,1.0,шт.,95
Сахар,2.0,ст.л.,95
Соль,0.0,по вкусу,95
Начинка,0.0,заголовок,95
Яблоко,4.0,шт.,95
Для карамели,0.0,заголовок,95
Сахар,130.0,гр.,95
Сливки 33-35%,150.0,мл.,95
Сливочное масло,30.0,гр.,95
Морская соль,0.0,по вкусу,95
1 яйцо и ложка молока для смазывания теста.,1.0,шт.,95
Тесто,0.0,заголовок,96
Мука,350.0,гр.,96
Сливочное масло,100.0,гр.,96
Сметана,100.0,гр.,96
Яйцо,1.0,шт.,96
Сахар,2.0,ст.л.,96
Соль,0.0,по вкусу,96
Сода,0.25,ч.л.,96
Начинка,0.0,заголовок,96
Кролик,800.0,гр.,96
Шампиньоны,300.0,гр.,96
Лук репчатый,1.0,шт.,96
Чеснок,0.0,по вкусу,96
Сливки 20 %,480.0,мл.,96
Тимьян,0.0,по вкусу,96
Бекон,100.0,гр.,96
Оливковое масло,0.0,по вкусу,96
Сливочное масло,0.0,по вкусу,96
Мускатный орех,0.0,по вкусу,96
Соль,0.0,по вкусу,96
Черный перец,0.0,по вкусу,96
Дополнительно,0.0,заголовок,96
Яйцо,1.0,шт.,96
Для подачи,0.0,заголовок,96
Сметана,0.0,по вкусу,96
Палтус,600.0,гр.,97
Кинза,0.0,по вкусу,97
Рыбный соус,1.0,ст.л.,97
Мед,1.0,ст.л.,97
Соевый соус,2.0,ст.л.,97
Кунжутное масло,1.0,ст.л.,97
Лаймовый сок,1.0,шт.,97
Кунжутное семя,1.0,ст.л.,97
Тесто,0.0,заголовок,98
Теплая питьевая вода,250.0,мл.,98
Оливковое масло,3.0,ст.л.,98
Дрожжи,2.0,ч.л.,98
Мука пшеничная,0.0,гр.,98
Мед,1.0,ч.л.,98
Соль,1.0,ч.л.,98
Начинка,0.0,заголовок,98
Томатный соус,100.0,гр.,98
Моцарелла,100.0,гр.,98
Сыр горгонзола,100.0,гр.,98
Сыр маасдам,100.0,гр.,98
Пармезан,50.0,гр.,98
Орегано,0.0,по вкусу,98
Оливковое масло,1.0,ст.л.,98
Трюфельное масло,0.0,по вкусу,98
Кедровые орехи,30.0,гр.,98
Мука,160.0,гр.,99
Сахар,200.0,гр.,99
Яйцо,4.0,шт.,99
Яблоко,5.0,шт.,99
Кукурузный крахмал,2.0,ст.л.,99
Корица,1.0,ч.л.,99
Ванильный сахар,17.0,гр.,99
Цедра лимона,1.0,шт.,99
Сок лимона,0.0,по вкусу,99
Сливочное масло,30.0,гр.,99
Спагетти,200.0,гр.,100
Желток,3.0,шт.,100
Пармезан,50.0,гр.,100
Бекон,150.0,гр.,100
Чеснок,0.0,по вкусу,100
Сливочное масло,30.0,гр.,100
Оливковое масло,1.0,ст.л.,100
Соль,0.0,по вкусу,100
Черный перец,0.0,по вкусу,100
Дополнительно,0.0,заголовок,100
Перепелиное яйцо,0.0,по вкусу,100
Цыпленок,2.0,шт.,101
Картофель,5.0,шт.,101
Тыква,500.0,гр.,101
Чеснок,10.0,шт.,101
Тимьян,0.0,по вкусу,101
Шалфей,0.0,по вкусу,101
Оливковое масло,3.0,ст.л.,101
Для маринада,0.0,заголовок,101
Сметана,150.0,шт.,101
Майонез,70.0,гр.,101
Дижонская горчица,1.0,ч.л.,101
Морская соль,1.0,ч.л.,101
Паприка,1.0,ч.л.,101
Чеснок,0.0,по вкусу,101
Любые специи для курицы.,0.0,по вкусу,101
Тесто,0.0,заголовок,102
Мука,250.0,гр.,102
Сливочное масло,120.0,гр.,102
Желток,1.0,шт.,102
Соль,0.0,по вкусу,102
Сахар,2.0,ст.л.,102
Холодная вода,4.0,ст.л.,102
Начинка,0.0,заголовок,102
Сахар,100.0,гр.,102
Яйцо,4.0,шт.,102
Кукурузный крахмал,2.0,ст.л.,102
Творог,500.0,гр.,102
Сливочное масло,70.0,гр.,102
Цедра лимона,0.5,шт.,102
1 яйцо и ложка молока для смазывания теста.,1.0,шт.,102
Цыпленок,2.0,шт.,103
Аджика,200.0,гр.,103
Чеснок,0.0,по вкусу,103
Красный лук,2.0,шт.,103
Мед,1.0,ст.л.,103
Лимон,0.0,по вкусу,103
Оливковое масло,0.0,по вкусу,103
Сливочное масло,50.0,гр.,103
Соль,0.0,по вкусу,103
Черный перец,0.0,по вкусу,103
Тимьян,0.0,по вкусу,103
Смесь специй для курицы - дополнительно.,0.0,по вкусу,103
Булгур,250.0,гр.,104
Курица,600.0,гр.,104
Морковь,200.0,гр.,104
Репчатый лук,1.0,шт.,104
Помидоры черри,8.0,шт.,104
Чеснок,0.0,по вкусу,104
Барбарис,1.0,ч.л.,104
Зира,1.0,ч.л.,104
Шафран,0.0,по вкусу,104
Растительное масло,0.0,по вкусу,104
Петрушка,0.0,по вкусу,104
Соль,0.0,по вкусу,104
Кипяток 500 мл. (проверь свою упаковку с булгуром),500.0,мл.,104
Тесто,0.0,заголовок,105
Мука,350.0,гр.,105
Сливочное масло,100.0,гр.,105
Сметана,100.0,гр.,105
Яйцо,1.0,шт.,105
Сахар,2.0,ст.л.,105
Соль,0.0,по вкусу,105
Сода,0.25,ч.л.,105
Начинка,0.0,заголовок,105
Слива,1.0,кг.,105
Яблоко,2.0,шт.,105
Корица,1.0,ч.л.,105
Миндаль,50.0,гр.,105
Кукурузный крахмал,3.0,ст.л.,105
Сахар,150.0,гр.,105
1 яйцо (белок + желток с каплей молока).,1.0,шт.,105
Тесто,0.0,заголовок,106
Вода,250.0,мл.,106
Оливковое масло,3.0,ст.л.,106
Дрожжи,2.0,ч.л.,106
Мука пшеничная,50.0,гр.,106
Мед,1.0,ч.л.,106
Соль,1.0,ч.л.,106
Соус,0.0,заголовок,106
Томатное пюре,400.0,гр.,106
Помидоры черри,0.0,по вкусу,106
Оливковое масло,2.0,ст.л.,106
Чеснок,0.0,по вкусу,106
Базилик,1.0,ч.л.,106
Орегано,1.0,ч.л.,106
Соль,0.0,по вкусу,106
Сахар,1.0,ч.л.,106
Начинка,0.0,заголовок,106
Моцарелла,460.0,гр.,106
Помидоры черри,20.0,шт.,106
Базилик,0.0,по вкусу,106
Соль,0.0,по вкусу,106
Орегано,0.0,по вкусу,106
Дополнительно,0.0,заголовок,106
Приправа итальянские травы,0.0,по вкусу,106
Пармезан,0.0,по вкусу,106
*начинка на 2 пиццы Маргариты,0.0,по вкусу,106
Мука,350.0,гр.,107
Кефир,500.0,мл.,107
Яйцо,1.0,шт.,107
Сахар,2.0,ст.л.,107
Соль,1.0,ч.л.,107
Сода,0.5,ч.л.,107
Растительное масло,0.0,по вкусу,107
Корица,1.0,ч.л.,107
Ванильный сахар,1.0,ст.л.,107
Яблоко,3.0,шт.,107
Тесто,0.0,заголовок,108
Мука,175.0,гр.,108
Сахарная пудра,10.0,гр.,108
Сливочное масло,75.0,гр.,108
Орех пекан,75.0,гр.,108
Яйцо,1.0,шт.,108
Начинка,0.0,заголовок,108
Тыква,450.0,гр.,108
Яйцо,2.0,шт.,108
Желток,1.0,шт.,108
Творожный сыр,275.0,гр.,108
Сахар,100.0,гр.,108
Мед,1.0,ст.л.,108
Апельсиновая цедра,0.0,по вкусу,108
Имбирь молотый,0.0,ч.л.,108
Молотый мускатный орех,0.0,ч.л.,108
Корица,0.0,ч.л.,108
Вышеперечисленные специи по желанию.,0.0,по вкусу,108
Тыква,1.0,кг.,109
Чеснок,0.0,по вкусу,109
Кокосовые сливки,250.0,мл.,109
Оливковое масло,1.0,ст.л.,109
Кинза,0.0,по вкусу,109
Тыквенные семечки,1.0,шт.,109
Имбирь,0.0,по вкусу,109
Приправа карри,0.0,по вкусу,109
Бальзамический крем,0.0,по вкусу,109
Креветки,200.0,гр.,109
Тесто,0.0,заголовок,110
Мука,350.0,гр.,110
Сливочное масло,100.0,гр.,110
Сметана,100.0,гр.,110
Яйцо,1.0,шт.,110
Сахар,2.0,ст.л.,110
Соль,0.0,по вкусу,110
Сода,0.25,ч.л.,110
Начинка,0.0,заголовок,110
Яблоко,600.0,гр.,110
Сметана,300.0,гр.,110
Кукурузный крахмал,2.0,ст.л.,110
Яйцо,1.0,шт.,110
Корица,0.0,ч.л.,110
Сахар,100.0,гр.,110
Лимон,0.0,по вкусу,110
Ванильный сахар,1.0,ч.л.,110
Орехи,50.0,гр.,110
1 яйцо и несколько капель молока для смазывания теста.,1.0,шт.,110
Цукини,2.0,шт.,111
Куриный фарш,400.0,гр.,111
Помидоры черри,6.0,шт.,111
Морковь,1.0,шт.,111
Чеснок,0.0,по вкусу,111
Тимьян,0.0,по вкусу,111
Сливки,50.0,мл.,111
Оливковое масло,0.0,по вкусу,111
Твердый сыр,0.0,по вкусу,111
"Соль, черный перец - по вкусу.",0.0,по вкусу,111
Мука,150.0,гр.,112
Миндальная мука,70.0,гр.,112
Яйцо,1.0,шт.,112
Сливочное масло,80.0,гр.,112
Сахар,120.0,гр.,112
Ванильный сахар,2.0,ч.л.,112
Сметана,100.0,гр.,112
Разрыхлитель,0.0,мало,112
Персик,4.0,шт.,112
Стружка миндаля и сахарная пудра для украшения и подачи,0.0,по вкусу,112
Говядина,1200.0,кг.,113
Хмели-сунели,2.0,ст.л.,113
Морковь,2.0,шт.,113
Картофель,2.0,шт.,113
Сельдерей,1.0,шт.,113
Лук репчатый,1.0,шт.,113
Чеснок,0.0,по вкусу,113
Бульон,1.0,шт.,113
Черный перец горошком,0.0,по вкусу,113
Лавровый лист,0.0,по вкусу,113
Петрушка,0.0,по вкусу,113
Блины,0.0,заголовок,114
Молоко,500.0,мл.,114
Яйцо,2.0,шт.,114
Мука,200.0,гр.,114
Сахар,2.0,ст.л.,114
Соль,0.0,по вкусу,114
Ванилин,0.0,мало,114
Сода,0.0,мало,114
Растительное масло,1.0,ст.л.,114
Начинка,0.0,заголовок,114
Яблоко,500.0,гр.,114
Сахар,3.0,ст.л.,114
Лимон,0.0,по вкусу,114
Грецкий орех,100.0,гр.,114
Корица,1.0,ч.л.,114
Сливочное масло,50.0,гр.,114
Ванильный сахар,0.0,по вкусу,114
Дополнительно,0.0,заголовок,114
Сахарная пудра,0.0,по вкусу,114
"Можете добавить изюм и какой-нибудь алкоголь (коньяк, ликер-1 ст.л.) при жарке яблок (см. Рецепт начинки из яблок для блинчиков).",1.0,ст.л.,114
Цукини,1.0,шт.,115
Баклажан,1.0,шт.,115
Шампиньоны,6.0,шт.,115
Болгарский перец,1.0,шт.,115
Помидор,1.0,шт.,115
